,,,,kp,3,,kd,1.5
,,,,ki,0.05,,,
,,,,p,i,d,pid,
-25.34,25.34,0.02,,-76.02,,,,
-26.78,26.78,0.02,,-80.34,,,,
-27.97,27.97,0.02,,-83.91,,,,
-28.72,28.72,0.02,,-86.16,,,,
-29.16,29.16,0.02,,-87.48,,,,
-29.22,29.22,0.02,,-87.66,,,,
-29.28,29.28,0.02,,-87.84,,,,
-28.91,28.91,0.02,,-86.73,,,,
-27.91,27.91,0.02,,-83.73,,,,
-26.47,26.47,0.02,,-79.41,,,,
-24.34,24.34,0.02,,-73.02,,,,
-21.72,21.72,0.02,,-65.16,,,,
-18.78,18.78,0.02,,-56.34,,,,
-15.53,15.53,0.02,,-46.59,,,,
-11.97,11.97,0.02,,-35.91,,,,
-8.35,8.35,0.02,,-25.05,,,,
-4.59,4.59,0.02,,-13.77,,,,
-0.66,0.66,0.02,,-1.98,,,,
1.22,-1.22,0.02,,3.66,,,,
5.09,-5.09,0.02,,15.27,,,,
8.72,-8.72,0.02,,26.16,,,,
11.78,-11.78,0.02,,35.34,,,,
14.53,-14.53,0.02,,43.59,,,,
16.59,-16.59,0.02,,49.77,,,,
18.03,-18.03,0.02,,54.09,,,,
18.78,-18.78,0.02,,56.34,,,,
18.97,-18.97,0.02,,56.91,,,,
18.47,-18.47,0.02,,55.41,,,,
17.34,-17.34,0.02,,52.02,,,,
16.53,-16.53,0.02,,49.59,,,,
